what,kind,bundleId,bundleVersion,description,time
resolved,bundle,org.eclipse.vjet.core.vjodef,0.10.0.201303191704,"org.eclipse.vjet.core.vjodef",1368629821019
resolved,bundle,org.eclipse.vjet.core.jsgenshared,0.10.0.201303191704,"org.eclipse.vjet.core.jsgenshared",1368629821019
resolved,bundle,org.eclipse.vjet.core.jstojava,0.10.0.201303191704,"org.eclipse.vjet.core.jstojava",1368629821019
resolved,bundle,org.eclipse.vjet.core.vjotool,0.10.0.201303191704,"org.eclipse.vjet.core.vjotool",1368629821019
installed,bundle,org.eclipse.vjet.resource.vjojavalib,0.10.0.201303191704,"org.eclipse.vjet.resource.vjojavalib",1368629821020
resolved,bundle,org.eclipse.vjet.core.javatojs,0.10.0.201303191704,"org.eclipse.vjet.core.javatojs",1368629821020
resolved,bundle,org.eclipse.vjet.core.wrapper,0.10.0.201303191704,"org.eclipse.vjet.core.wrapper",1368629821020
resolved,bundle,org.eclipse.vjet.resource.vjojavalib,0.10.0.201303191704,"org.eclipse.vjet.resource.vjojavalib",1368629821022
resolved,bundle,org.eclipse.vjet.resource.jsnativetypes,0.10.0.201303191704,"org.eclipse.vjet.resource.jsnativetypes",1368629821022
installed,bundle,org.eclipse.vjet.resource.vjolib,0.10.0.201303191704,"org.eclipse.vjet.resource.vjolib",1368629821023
installed,bundle,org.eclipse.vjet.rt.active,0.10.0.201303191704,"org.eclipse.vjet.rt.active",1368629821032
resolved,bundle,org.eclipse.vjet.resource.vjolib,0.10.0.201303191704,"org.eclipse.vjet.resource.vjolib",1368629821032
installed,bundle,org.eclipse.vjet.rt.active.javatojs,0.10.0.201303191704,"org.eclipse.vjet.rt.active.javatojs",1368629821034
resolved,bundle,org.eclipse.vjet.eclipse.core,0.10.0.201303191704,"org.eclipse.vjet.eclipse.core",1368629821036
installed,bundle,org.eclipse.vjet.rt.jsdebugger,0.10.0.201303191704,"org.eclipse.vjet.rt.jsdebugger",1368629821038
resolved,bundle,org.eclipse.vjet.eclipse.vjetv,0.10.0.201303191704,"org.eclipse.vjet.eclipse.vjetv",1368629821038
installed,bundle,org.eclipse.vjet.rt.jsdi,0.10.0.201303191704,"org.eclipse.vjet.rt.jsdi",1368629821039
installed,bundle,org.eclipse.vjet.rt.jsonserializer,0.10.0.201303191704,"org.eclipse.vjet.rt.jsonserializer",1368629821041
installed,bundle,org.eclipse.vjet.rt.liveconnect,0.10.0.201303191704,"org.eclipse.vjet.rt.liveconnect",1368629821044
resolved,bundle,org.eclipse.vjet.eclipse.ui,0.10.0.201303191704,"org.eclipse.vjet.eclipse.ui",1368629821046
resolved,bundle,org.eclipse.vjet.eclipse.ui.html,0.10.0.201303191704,"org.eclipse.vjet.eclipse.ui.html",1368629821047
installed,bundle,org.eclipse.vjet.rt.vjoruntime,0.10.0.201303191704,"org.eclipse.vjet.rt.vjoruntime",1368629821047
resolved,bundle,org.eclipse.vjet.eclipse.typespace.efs,0.10.0.201303191704,"org.eclipse.vjet.eclipse.typespace.efs",1368629821050
installed,bundle,org.eclipse.vjet.rt.wrapper,0.10.0.201303191704,"org.eclipse.vjet.rt.wrapper",1368629821052
resolved,bundle,org.eclipse.vjet.rt.jsdi,0.10.0.201303191704,"org.eclipse.vjet.rt.jsdi",1368629821053
installed,bundle,org.eclipse.vjet.vjo.vjojavalib,0.10.0.201303191704,"org.eclipse.vjet.vjo.vjojavalib",1368629821055
installed,bundle,org.eclipse.vjet.vsf.aggregator,0.10.0.201303191704,"org.eclipse.vjet.vsf.aggregator",1368629821057
installed,bundle,org.eclipse.vjet.vsf.aggregator.cache,0.10.0.201303191704,"org.eclipse.vjet.vsf.aggregator.cache",1368629821059
installed,bundle,org.eclipse.vjet.vsf.common.converter,0.10.0.201303191704,"org.eclipse.vjet.vsf.common.converter",1368629821061
installed,bundle,org.eclipse.vjet.vsf.dervlet,0.10.0.201303191704,"org.eclipse.vjet.vsf.dervlet",1368629821065
